FullName,Ticker,ShortName
NEUCA SPÓŁKA AKCYJNA ,NEU,NEUCA  
NEW TECH CAPITAL SPÓŁKA AKCYJNA ,NTC,NEW TECH CAPITAL  
NEWAG SPÓŁKA AKCYJNA ,NWG,NEWAG  
NEXITY GLOBAL SPÓŁKA AKCYJNA ,NXG,NEXITY GLOBAL  
NOVAVIS GROUP SPÓŁKA AKCYJNA ,NVG,NOVAVIS GROUP  
NOVITA SPÓŁKA AKCYJNA ,NVT,NOVITA  
NPL NOVA SPÓŁKA AKCYJNA ,PRI,NPL NOVA  
NTT SYSTEM SPÓŁKA AKCYJNA ,NTT,NTT SYSTEM  
OCTAVA SPÓŁKA AKCYJNA ,08N,OCTAVA  
ODLEWNIE POLSKIE SPÓŁKA AKCYJNA ,ODL,ODLEWNIE POLSKIE  
OEX SPÓŁKA AKCYJNA ,OEX,OEX  
ONDE SPÓŁKA AKCYJNA ,OND,ONDE  
ONE SPÓŁKA AKCYJNA ,FMG,ONE  
ONESANO SPÓŁKA AKCYJNA ,ONO,ONESANO  
OPONEO.PL SPÓŁKA AKCYJNA ,OPN,OPONEO.PL  
OPTEAM SPÓŁKA AKCYJNA ,OPM,OPTEAM  
ORANGE POLSKA SPÓŁKA AKCYJNA ,OPL,ORANGE POLSKA  
ORLEN SPÓŁKA AKCYJNA ,PKN,ORLEN  
ORZEŁ BIAŁY SPÓŁKA AKCYJNA ,OBL,ORZEŁ BIAŁY  
OT LOGISTICS SPÓŁKA AKCYJNA ,OTS,OT LOGISTICS  
P.A. NOVA SPÓŁKA AKCYJNA ,NVA,P.A. NOVA  
PAMAPOL SPÓŁKA AKCYJNA ,PMP,PAMAPOL  
PASSUS SPÓŁKA AKCYJNA ,PAS,PASSUS  
PATENTUS SPÓŁKA AKCYJNA ,PAT,PATENTUS  
PBG SPÓŁKA AKCYJNA W RESTRUKTURYZACJI I LIKWIDACJI Z SIEDZIBĄ W WYSOGOTOWIE ,PBG,PBG 
PBS FINANSE SPÓŁKA AKCYJNA ,PBF,PBS FINANSE  
PCC EXOL SPÓŁKA AKCYJNA ,PCX,PCC EXOL  
PCC ROKITA SPÓŁKA AKCYJNA ,PCR,PCC ROKITA  
PCF GROUP SPÓŁKA AKCYJNA ,PCF,PCF GROUP  
PGE POLSKA GRUPA ENERGETYCZNA SPÓŁKA AKCYJNA ,PGE,PGE POLSKA GRUPA ENERGETYCZNA  
PGF POLSKA GRUPA FOTOWOLTAICZNA SPÓŁKA AKCYJNA ,PGV,PGF POLSKA GRUPA FOTOWOLTAICZNA  
PHARMENA SPÓŁKA AKCYJNA ,PHR,PHARMENA  
PJP MAKRUM SPÓŁKA AKCYJNA ,PJP,PJP MAKRUM  
PKP CARGO SPÓŁKA AKCYJNA ,PKP,PKP CARGO  
PLAYWAY SPÓŁKA AKCYJNA ,PLW,PLAYWAY  
PMPG POLSKIE MEDIA SPÓŁKA AKCYJNA ,PGM,PMPG POLSKIE MEDIA  
POLENERGIA SPÓŁKA AKCYJNA ,PEP,POLENERGIA  
POLIMEX MOSTOSTAL SPÓŁKA AKCYJNA ,PXM,POLIMEX MOSTOSTAL  
POLSKI HOLDING NIERUCHOMOŚCI SPÓŁKA AKCYJNA ,PHN,POLSKI HOLDING NIERUCHOMOŚCI  
POLSKIE TOWARZYSTWO WSPIERANIA PRZEDSIĘBIORCZOŚCI SPÓŁKA AKCYJNA ,PTW,POLSKIE TOWARZYSTWO WSPIERANIA PRZEDSIĘBIORCZOŚCI  
POLTREG SPÓŁKA AKCYJNA ,PTG,POLTREG  
POLWAX SPÓŁKA AKCYJNA ,PWX,POLWAX  
POWSZECHNA KASA OSZCZĘDNOŚCI BANK POLSKI SPÓŁKA AKCYJNA ,PKO,POWSZECHNA KASA OSZCZĘDNOŚCI BANK POLSKI  
POWSZECHNY ZAKŁAD UBEZPIECZEŃ SPÓŁKA AKCYJNA ,PZU,POWSZECHNY ZAKŁAD UBEZPIECZEŃ  
POZNAŃSKA KORPORACJA BUDOWLANA PEKABEX SPÓŁKA AKCYJNA ,PBX,POZNAŃSKA KORPORACJA BUDOWLANA PEKABEX  
PRIMA MODA SPÓŁKA AKCYJNA W RESTRUKTURYZACJI ,PMA,PRIMA MODA  W RESTRUKTURYZACJI 
PROCHEM SPÓŁKA AKCYJNA ,PRM,PROCHEM  
PROTEKTOR SPÓŁKA AKCYJNA ,PRT,PROTEKTOR  
