,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
Kapitał własny akcjonariuszy jednostki dominującej,62189.0,65107.0,68334.0,111780.0,113609.0,115407.0,118033.0,118359.0,122392.0,126105.0,128346.0,132770.0,139239.0,143218.0,146405.0,142109.0,145646.0,146423.0,148898.0,143890.0,153335.0,162917.0,168511.0,158962.0,173068.0,186545.0,193343.0,188933.0,201565.0,208708.0,212034.0,222047.0,257270.0,297050.0,330597.0,327283.0,356197.0,381935.0,401012.0,412859.0,443588.0,461617.0,461268.0,460796.0,475670.0,559991.0
Kapitał (fundusz) podstawowy,6347.0,6347.0,0.0,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0,11347.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,0.0,16594.0,0.0,37525.0,37524.0,37524.0,37524.0,37525.0,37525.0,37525.0,37525.0,37525.0,37525.0,37525.0,37525.0,37525.0,37525.0,37525.0,37525.0,37525.0,37525.0,37525.0,37525.0,37525.0,37525.0,37525.0,37525.0,37525.0,37525.0,37525.0,37525.0,37525.0,37525.0,37525.0,37525.0,37525.0,37525.0,37525.0,37525.0,37525.0,37525.0,37525.0,37525.0,37525.0,37525.0,37525.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,81976.0,77069.0,0.0,77189.0,84919.0,91422.0,90002.0,99437.0,95168.0,117670.0,122623.0,121794.0,147846.0,150821.0,147188.0,146202.0,140043.0,141870.0,154327.0,155165.0,151723.0,181644.0,199978.0,199748.0,203657.0,226858.0,239773.0,249113.0,264047.0,288286.0,292597.0,302398.0,285280.0,292110.0,317264.0,346237.0,334603.0,385675.0,421414.0,303160.0,326028.0,368503.0,435325.0,440065.0,463512.0,475497.0
Z tytułu dostaw i usług,46726.0,48154.0,0.0,55320.0,56046.0,55072.0,57940.0,52997.0,45026.0,53352.0,64446.0,56116.0,66362.0,55786.0,63332.0,59429.0,81342.0,82374.0,75720.0,70331.0,77277.0,100982.0,95708.0,109694.0,110190.0,111475.0,97960.0,99463.0,109445.0,110278.0,131172.0,90145.0,100183.0,80915.0,114053.0,115549.0,117906.0,159745.0,147371.0,149421.0,170306.0,229632.0,226891.0,216264.0,150250.0,176291.0
Kredyty i pożyczki,32089.0,32897.0,0.0,43614.0,40802.0,40462.0,47722.0,47639.0,47032.0,32302.0,38219.0,38568.0,20283.0,16771.0,20992.0,24617.0,24427.0,23894.0,25441.0,22838.0,21865.0,10454.0,10603.0,10052.0,10091.0,16209.0,16240.0,16163.0,17908.0,17932.0,22184.0,22100.0,22108.0,29469.0,33523.0,33713.0,34260.0,35330.0,35194.0,194894.0,192075.0,140637.0,145216.0,140793.0,207248.0,140654.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,3183.0,3390.0,0.0,14.0,5206.0,7057.0,4496.0,11592.0,12175.0,14745.0,17094.0,20211.0,20949.0,15823.0,20959.0,34863.0,31726.0,26599.0,23379.0,19674.0,22053.0,20125.0,14996.0,14947.0,21576.0,22397.0,22011.0,23230.0,23367.0,23182.0,26411.0,27022.0,26711.0,25834.0,24212.0,23510.0,22292.0,22275.0,14077.0,22694.0,17154.0,16883.0,16355.0,31931.0,37410.0,30201.0
Inne zobowiązania długoterminowe,20887.0,21946.0,0.0,21750.0,21644.0,21869.0,21651.0,21686.0,21503.0,24961.0,25576.0,24488.0,34231.0,34621.0,34230.0,34039.0,33760.0,34035.0,33864.0,33821.0,33857.0,35055.0,34635.0,34462.0,33708.0,34836.0,34295.0,34062.0,33937.0,34684.0,34642.0,47841.0,46771.0,52989.0,55296.0,54445.0,54461.0,54551.0,52033.0,51969.0,52537.0,52728.0,48073.0,44336.0,54759.0,56150.0
Zobowiązania krótkoterminowe,91776.0,94227.0,0.0,117960.0,118880.0,123069.0,155685.0,167527.0,156830.0,145064.0,154354.0,148194.0,132263.0,122421.0,144168.0,143112.0,162475.0,188346.0,195632.0,183776.0,184326.0,174868.0,176691.0,200915.0,209325.0,200953.0,188755.0,193402.0,208866.0,202944.0,236785.0,187070.0,208592.0,190707.0,243594.0,241082.0,247022.0,281006.0,300015.0,492060.0,521334.0,507980.0,519207.0,533273.0,546083.0,489402.0
Inne zobowiązania krótkoterminowe,9778.0,9786.0,0.0,19012.0,16826.0,20478.0,45527.0,55299.0,52597.0,44665.0,34595.0,33299.0,24669.0,34041.0,38885.0,24203.0,24980.0,55479.0,71092.0,70933.0,63131.0,43307.0,55384.0,66222.0,67468.0,50872.0,52544.0,54546.0,58146.0,51552.0,57018.0,47803.0,59590.0,54489.0,71806.0,68310.0,72564.0,63656.0,103373.0,125051.0,141799.0,120828.0,130745.0,144285.0,151175.0,142256.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,235941.0,236403.0,68334.0,306929.0,317408.0,329898.0,363720.0,385323.0,374390.0,388839.0,405323.0,402758.0,419348.0,416460.0,437761.0,431423.0,448164.0,476639.0,498857.0,482831.0,489384.0,519429.0,545180.0,559625.0,586050.0,614356.0,621871.0,631448.0,674478.0,699938.0,741416.0,711515.0,751142.0,779867.0,891455.0,914602.0,937822.0,1048616.0,1122441.0,1208079.0,1290950.0,1338100.0,1415800.0,1434134.0,1485265.0,1524890.0
Przepływy pieniężne z działalności operacyjnej,6043.0,12372.0,19.0,11757.0,11151.0,5364.0,-29478.0,-2582.0,30728.0,40604.0,-8325.0,9184.0,14350.0,9812.0,2733.0,10054.0,16863.0,9833.0,-4695.0,22942.0,32286.0,38300.0,216.0,33394.0,9772.0,-11845.0,8980.0,4423.0,28039.0,17834.0,3696.0,31286.0,36759.0,49150.0,48920.0,19052.0,49097.0,23085.0,23648.0,27619.0,55860.0,40730.0,-62255.0,167541.0,-18010.0,141657.0
Amortyzacja,3026.0,3195.0,3167.0,3412.0,3651.0,5366.0,5112.0,4604.0,5175.0,5280.0,5001.0,5597.0,5803.0,6069.0,6185.0,6480.0,6538.0,6609.0,7003.0,7192.0,7349.0,7365.0,7270.0,7269.0,7027.0,6911.0,7237.0,7152.0,7270.0,7748.0,8620.0,9426.0,9220.0,9265.0,8976.0,10220.0,9718.0,9813.0,9913.0,9336.0,11418.0,11948.0,12031.0,11073.0,16541.0,13406.0
Przepływy pieniężne z działalności inwestycyjnej,-220.0,-4866.0,-4436.0,-7086.0,-13666.0,-22990.0,-9372.0,-15069.0,-16667.0,-28094.0,-2333.0,-5880.0,-10497.0,-6703.0,-5440.0,-5937.0,-3731.0,-12011.0,-3700.0,-9358.0,-8789.0,-27047.0,-20136.0,-11890.0,3606.0,-18922.0,-28065.0,-13327.0,-22569.0,-13900.0,-16756.0,-19354.0,-30783.0,-36864.0,-59179.0,-37612.0,-39902.0,-64260.0,-47250.0,-37127.0,-40614.0,-59404.0,-7413.0,-61559.0,-59788.0,-51090.0
CAPEX (niematerialne i rzeczowe),236.0,5352.0,4460.0,7094.0,13748.0,26367.0,9400.0,15103.0,16684.0,28011.0,3354.0,5884.0,10512.0,5562.0,5532.0,6051.0,3776.0,11067.0,3463.0,10574.0,8704.0,27050.0,20271.0,12184.0,24726.0,18969.0,28181.0,13431.0,22603.0,15156.0,16814.0,20007.0,30815.0,33911.0,50833.0,37361.0,40976.0,64387.0,49795.0,36367.0,47608.0,76687.0,4169.0,109207.0,57547.0,55246.0
Przepływy pieniężne z działalności finansowej,-5336.0,-8911.0,4765.0,-3911.0,41504.0,-122.0,25319.0,12357.0,-13601.0,-9254.0,8956.0,153.0,-3363.0,-3261.0,4998.0,-9262.0,-12193.0,11720.0,-1716.0,-14174.0,-18863.0,-6867.0,13907.0,-8939.0,2536.0,22938.0,6931.0,129.0,4295.0,2539.0,-2018.0,-2570.0,-15392.0,246.0,12874.0,7621.0,-17909.0,44726.0,32117.0,13144.0,-30417.0,23853.0,69012.0,-109848.0,77872.0,-86452.0
Emisja akcji,0.0,0.0,0.0,0.0,43465.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,4506.0,0.0,0.0,0.0,1269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7375.0,0.0,0.0,0.0,7375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5673.0,0.0,0.0,0.0,0.0,0.0,0.0,17020.0,0.0,0.0,0.0,0.0,22694.0,0.0,0.0,24963.0,0.0,0.0
Przepływy pieniężne razem,487.0,-1405.0,348.0,760.0,38989.0,-17748.0,-13531.0,-5294.0,460.0,3256.0,-1702.0,3457.0,490.0,-152.0,2291.0,-5145.0,939.0,9542.0,-10111.0,-590.0,4634.0,4386.0,-6013.0,12565.0,15914.0,-7829.0,-12154.0,-8775.0,9765.0,6473.0,-15078.0,9362.0,-9416.0,12532.0,2615.0,-10939.0,-8714.0,3551.0,8515.0,3636.0,-15171.0,5179.0,-656.0,-3866.0,74.0,4115.0
