,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
Aktywa razem,69556.0,71963.0,79782.0,93467.0,98462.0,101371.0,114166.0,132768.0,110764.0,119488.0,130477.0,137114.0,119087.0,121798.0,132950.0,142639.0,126155.0,125250.0,139172.0,150082.0,136985.0,138470.0,146443.0,135711.0,144084.0,131121.0,137973.0,144638.0,144107.0,150117.0,152448.0,149810.0,163854.0,166433.0,181463.0,189681.0,186693.0,174768.0,182493.0,194484.0,194917.0,196937.0,205522.0,207351.0,204326.0,205870.0,216212.0,213288.0,211175.0,213101.0,245403.0,251557.0,239343.0,223174.0,222130.0
Kapitał własny akcjonariuszy jednostki dominującej,50320.0,54341.0,60600.0,70026.0,77265.0,79788.0,63724.0,74848.0,82345.0,85006.0,91632.0,82416.0,89417.0,93609.0,100246.0,86873.0,92683.0,97668.0,104933.0,92340.0,99447.0,105240.0,113360.0,98418.0,107215.0,89888.0,98601.0,80867.0,88902.0,96411.0,106818.0,95786.0,105304.0,111812.0,126926.0,98276.0,109416.0,114691.0,127220.0,133712.0,127174.0,132445.0,139400.0,124358.0,130895.0,134396.0,141422.0,129951.0,141694.0,150608.0,123232.0,131372.0,137652.0,144088.0,153322.0
Kapitał (fundusz) podstawowy,2300.0,2300.0,2300.0,2332.0,2332.0,2332.0,2363.0,2363.0,2363.0,2363.0,2363.0,2395.0,2395.0,2395.0,2395.0,2395.0,2395.0,2395.0,2395.0,2414.0,2414.0,2414.0,2414.0,2414.0,2423.0,2423.0,2423.0,2429.0,2429.0,2429.0,2429.0,2429.0,2449.0,2449.0,2449.0,2470.0,2470.0,2470.0,2470.0,2470.0,2470.0,2518.0,2518.0,2518.0,2518.0,2518.0,2518.0,2518.0,2518.0,2518.0,2518.0,2518.0,2300.0,2300.0,2300.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35000.0,-35000.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,30360.0,30953.0,53031.0,53583.0,54199.0,54873.0,55911.0,56468.0,57025.0,57583.0,57583.0,63684.0,64065.0,64479.0,64479.0,69177.0,69177.0,69864.0,69847.0,73682.0,73682.0,74210.0,74510.0,78898.0,78898.0,57261.0,57019.0,61059.0,61059.0,63284.0,63298.0,70354.0,70354.0,70354.0,73081.0,74055.0,74055.0,74038.0,74967.0,74967.0,97862.0,99029.0,99029.0,107764.0,107764.0,107764.0,107764.0,111731.0,111731.0,111731.0,76731.0,113090.0,113090.0,113090.0,113090.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,1047.0,0.0,0.0,0.0,0.0,0.0,0.0,21386.0,4819.0,4819.0,4819.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,99.0,154.0,137.0,120.0,103.0,86.0,68.0,51.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488.0,442.0,375.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
Z tytułu dostaw i usług,0.0,5736.0,0.0,0.0,0.0,7578.0,0.0,0.0,0.0,10829.0,0.0,0.0,0.0,9951.0,0.0,0.0,0.0,8149.0,0.0,0.0,0.0,10532.0,0.0,0.0,0.0,10717.0,0.0,0.0,0.0,6326.0,0.0,0.0,0.0,14379.0,0.0,0.0,0.0,8193.0,0.0,0.0,0.0,8404.0,0.0,0.0,0.0,10263.0,0.0,0.0,0.0,15715.0,0.0,0.0,0.0,8691.0,0.0
Kredyty i pożyczki,0.0,5198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6803.0,0.0,0.0,0.0,24272.0,0.0,0.0,0.0,4345.0,0.0,0.0,0.0,21747.0,0.0,0.0,0.0,33826.0,0.0,0.0,0.0,35479.0,0.0,0.0,0.0,17122.0,0.0,0.0,0.0,44224.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
