,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,0.0,0.0,0.0,103756.0,55932.0,56688.0,59558.0,52467.0,108983.0,107884.0,116497.0,121908.0,83010.0,87025.0,36131.0,35879.0,35276.0,35659.0,74653.0,129240.0,157768.0,234962.0,233288.0,235126.0,237321.0,234158.0,193917.0,190959.0,183419.0,141030.0,141475.0,151893.0,147981.0,143392.0,140668.0,99186.0,93534.0,84261.0,86200.0,82909.0,87532.0,24614.0,26331.0,27626.0,30761.0,75870.0,76614.0,74412.0,74771.0,66583.0,11357.0,9028.0,0.0,0.0,0.0,0.0
Z tytułu dostaw i usług,0.0,0.0,0.0,18725.0,21574.0,22392.0,15144.0,22627.0,21463.0,19627.0,15130.0,13804.0,15140.0,17826.0,15028.0,15370.0,16899.0,16369.0,18628.0,15830.0,21772.0,18671.0,16675.0,16712.0,18997.0,24527.0,20862.0,35171.0,81328.0,95517.0,85893.0,106722.0,86376.0,84985.0,86820.0,101244.0,94708.0,92675.0,30697.0,43626.0,37455.0,26626.0,37226.0,51740.0,22222.0,14518.0,16132.0,16694.0,17006.0,26847.0,72033.0,23539.0,14353.0,2217.0,142.0,172.0
Kredyty i pożyczki,0.0,0.0,0.0,3084.0,53270.0,51583.0,56896.0,56602.0,2337.0,3479.0,2631.0,2142.0,45599.0,43411.0,94332.0,94045.0,98717.0,100184.0,63831.0,71493.0,70780.0,1719.0,1756.0,7529.0,5254.0,12266.0,6978.0,7206.0,6710.0,27962.0,28385.0,26902.0,26756.0,27608.0,26666.0,4893.0,4770.0,4653.0,4777.0,4573.0,4802.0,65590.0,101293.0,101847.0,101410.0,37728.0,36562.0,37309.0,37192.0,35568.0,14014.0,0.0,0.0,0.0,0.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1279.0,584.0,1264.0,29089.0,31131.0,5865.0,31062.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inne zobowiązania długoterminowe,0.0,0.0,0.0,25449.0,27136.0,27765.0,30606.0,17221.0,15467.0,13124.0,12705.0,10427.0,11364.0,13605.0,12712.0,13468.0,12904.0,12521.0,10179.0,32197.0,29309.0,26796.0,24661.0,32541.0,32207.0,29061.0,21680.0,20248.0,19249.0,21605.0,22557.0,36283.0,37252.0,31562.0,31625.0,19392.0,14468.0,16455.0,17873.0,17445.0,18536.0,18452.0,18451.0,19352.0,19857.0,13427.0,13985.0,14232.0,14713.0,8531.0,9054.0,8841.0,0.0,0.0,0.0,0.0
Zobowiązania krótkoterminowe,0.0,0.0,0.0,22521.0,75899.0,75353.0,73004.0,81860.0,26562.0,25033.0,18146.0,16322.0,60829.0,61502.0,109628.0,109682.0,115883.0,116818.0,105720.0,87323.0,92818.0,20466.0,18506.0,25520.0,24835.0,41625.0,68891.0,78113.0,96537.0,154628.0,114366.0,137388.0,113132.0,112593.0,113486.0,156703.0,149598.0,157313.0,92873.0,99818.0,91161.0,139927.0,144604.0,159672.0,126685.0,52246.0,54938.0,56247.0,56442.0,65484.0,92045.0,25369.0,14353.0,2217.0,142.0,172.0
Inne zobowiązania krótkoterminowe,0.0,0.0,0.0,712.0,1055.0,1378.0,964.0,2631.0,2762.0,1927.0,385.0,376.0,90.0,265.0,268.0,267.0,267.0,265.0,23261.0,0.0,266.0,76.0,75.0,0.0,0.0,3568.0,11962.0,4605.0,2634.0,87.0,88.0,3764.0,0.0,0.0,0.0,50566.0,50120.0,59985.0,57399.0,51619.0,48904.0,47711.0,6085.0,6085.0,3053.0,0.0,2244.0,2244.0,2244.0,3069.0,5998.0,1830.0,0.0,0.0,0.0,0.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
