,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Kapitał (fundusz) zapasowy,0.0,0.0,0.0,0.0,0.0,100960.0,119507.0,125805.0,114873.0,124768.0,117017.0,114130.0,120000.0,122154.0,116327.0,112546.0,113383.0,113865.0,123207.0,131050.0,142458.0,140664.0,141072.0,145769.0,140459.0,148728.0,144076.0,156164.0,147428.0,138486.0,136457.0,130082.0,127564.0,139898.0,137335.0,140485.0,143355.0,139510.0,149464.0,141905.0,154942.0,148739.0,144449.0,144195.0,148253.0,142122.0,149184.0,151706.0,156194.0,167493.0,185085.0,164478.0,160427.0,153447.0,163278.0,147035.0,149038.0
Udziały niekontrolujące,2481.0,2977.0,2770.0,4040.0,5155.0,0.0,0.0,62545.0,57257.0,67777.0,62530.0,79406.0,94042.0,93268.0,87289.0,86616.0,85203.0,28995.0,27305.0,40477.0,25250.0,36760.0,45044.0,22907.0,23261.0,21390.0,20170.0,28369.0,26668.0,27192.0,28492.0,24641.0,28766.0,28806.0,25702.0,26946.0,27047.0,23630.0,28932.0,59609.0,52886.0,52727.0,44542.0,43530.0,47782.0,54968.0,58007.0,512.0,506.0,529.0,565.0,-79.0,-90.0,-115.0,-87.0,0.0,0.0
Zobowiązania długoterminowe,10549.0,12112.0,25123.0,7016.0,23145.0,31741.0,34958.0,21683.0,20443.0,24265.0,46701.0,40620.0,46842.0,134823.0,175558.0,141501.0,137364.0,127350.0,125192.0,42560.0,108458.0,44752.0,45105.0,69159.0,145116.0,71415.0,67712.0,88388.0,83798.0,79468.0,78790.0,78437.0,83480.0,84229.0,79708.0,76950.0,79941.0,72820.0,76368.0,71385.0,106161.0,108702.0,103360.0,121693.0,129030.0,111230.0,116677.0,104513.0,111676.0,127420.0,128048.0,83845.0,106833.0,106936.0,116798.0,23157.0,30509.0
Z tytułu dostaw i usług,30926.0,49840.0,16757.0,19803.0,17883.0,37440.0,47574.0,40910.0,32913.0,51288.0,112183.0,107671.0,99624.0,196565.0,176486.0,154386.0,99968.0,122486.0,130774.0,85912.0,68514.0,107548.0,102189.0,90088.0,67718.0,83264.0,67145.0,66534.0,66482.0,72982.0,66994.0,54698.0,53800.0,75464.0,80995.0,88360.0,88757.0,111392.0,139172.0,118898.0,115922.0,107245.0,91596.0,38027.0,32130.0,38031.0,40540.0,33576.0,26393.0,25886.0,37610.0,40158.0,32106.0,26746.0,32261.0,18857.0,21168.0
Kredyty i pożyczki,18349.0,31166.0,12621.0,16048.0,21471.0,18436.0,18342.0,44693.0,43377.0,121288.0,95200.0,150978.0,194504.0,151656.0,137711.0,180130.0,118381.0,111699.0,122798.0,195092.0,114695.0,179574.0,147992.0,112668.0,33703.0,115556.0,113492.0,101946.0,98499.0,86881.0,86006.0,85845.0,78376.0,92522.0,93660.0,89770.0,70507.0,80724.0,60152.0,45029.0,35060.0,25269.0,17338.0,10817.0,11704.0,11061.0,10033.0,10747.0,14308.0,15680.0,15727.0,42116.0,11468.0,10164.0,7463.0,33416.0,34809.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5066.0,6536.0,2803.0,4279.0,3885.0,4747.0,32751.0,38732.0,31113.0,32120.0,30409.0,29394.0,30104.0,33261.0,39172.0,40727.0,36023.0,47171.0,42502.0,37333.0
Inne zobowiązania długoterminowe,0.0,0.0,0.0,0.0,0.0,8640.0,7166.0,3910.0,2988.0,4571.0,7961.0,9891.0,9634.0,8599.0,8656.0,10214.0,8897.0,9407.0,9684.0,3760.0,5887.0,3237.0,4342.0,698.0,4845.0,617.0,829.0,1057.0,1006.0,978.0,946.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania krótkoterminowe,50062.0,81725.0,30543.0,36461.0,39905.0,58801.0,72848.0,87489.0,77544.0,176043.0,238547.0,262043.0,297485.0,353798.0,316673.0,339781.0,224069.0,236230.0,257925.0,288236.0,185234.0,293258.0,256614.0,208822.0,103132.0,204974.0,186085.0,174711.0,170832.0,165756.0,159048.0,146514.0,137751.0,174055.0,180561.0,184428.0,165054.0,200692.0,209988.0,169203.0,157683.0,144743.0,121838.0,94678.0,99773.0,100622.0,98754.0,90802.0,77716.0,79116.0,92993.0,125178.0,88710.0,85130.0,91397.0,105124.0,100281.0
Inne zobowiązania krótkoterminowe,787.0,720.0,1164.0,611.0,550.0,2925.0,6932.0,1886.0,1254.0,3466.0,31163.0,3394.0,3357.0,5577.0,2476.0,5265.0,5720.0,2045.0,4352.0,7232.0,2024.0,6136.0,6433.0,6066.0,1710.0,6154.0,5448.0,6231.0,5851.0,5893.0,6048.0,5970.0,5575.0,6069.0,5906.0,6297.0,5789.0,3510.0,4128.0,2472.0,2422.0,8343.0,8157.0,13083.0,17207.0,20417.0,16062.0,16069.0,7620.0,7445.0,6395.0,3733.0,4409.0,12197.0,4501.0,10349.0,6972.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
