,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.0,48.0,0.0
Zobowiązania z tytułu leasingu finansowego,1759.0,2537.0,2194.0,5717.0,2244.0,2537.0,1863.0,4965.0,1652.0,1845.0,1243.0,7241.0,1550.0,2049.0,1614.0,1642.0,1351.0,1536.0,1080.0,7581.0,876.0,1299.0,1030.0,8922.0,1597.0,3211.0,2108.0,2160.0,4837.0,5371.0,7579.0,8338.0,7802.0,8127.0,7268.0,6027.0,10175.0,6225.0,5231.0,4924.0,3635.0,3882.0,3549.0,3946.0,3823.0,3557.0,4267.0,3781.0,3322.0,3557.0
Inne zobowiązania długoterminowe,0.0,0.0,101.0,1088.0,793.0,651.0,776.0,701.0,838.0,224.0,225.0,152.0,217.0,145.0,127.0,560.0,720.0,648.0,1105.0,1738.0,2178.0,16995.0,16861.0,15933.0,14848.0,25140.0,21688.0,19450.0,19466.0,16731.0,20831.0,19990.0,15822.0,13501.0,15248.0,14393.0,13420.0,13414.0,14616.0,13358.0,12090.0,11528.0,10796.0,10724.0,9861.0,8944.0,15091.0,13097.0,16317.0,17726.0
Zobowiązania krótkoterminowe,48243.0,82434.0,46679.0,68800.0,46312.0,62777.0,44661.0,96102.0,45644.0,80555.0,49120.0,46644.0,44652.0,87296.0,53668.0,61664.0,136203.0,100151.0,54191.0,59061.0,66310.0,76864.0,60705.0,71541.0,78003.0,191566.0,91187.0,85824.0,100186.0,100078.0,100626.0,100522.0,79130.0,85885.0,61627.0,66533.0,67157.0,124043.0,69705.0,62348.0,47617.0,85309.0,61699.0,58505.0,60227.0,75613.0,94040.0,92559.0,86346.0,110255.0
Inne zobowiązania krótkoterminowe,0.0,463.0,17032.0,17675.0,18206.0,21856.0,21370.0,42129.0,19621.0,33396.0,21812.0,15591.0,16029.0,27850.0,21271.0,18323.0,49964.0,48183.0,24983.0,22885.0,22883.0,35625.0,29566.0,29542.0,26089.0,56324.0,44367.0,49749.0,44867.0,49152.0,45790.0,44709.0,31042.0,34065.0,26760.0,35315.0,23081.0,44576.0,16086.0,9486.0,8468.0,38651.0,32172.0,26990.0,21392.0,30905.0,42886.0,35843.0,32991.0,49697.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,81084.0,116258.0,83943.0,132897.0,110369.0,129663.0,110148.0,160152.0,115548.0,155476.0,125113.0,112132.0,111884.0,161333.0,126335.0,128001.0,206577.0,178224.0,130373.0,135865.0,146449.0,176172.0,159091.0,159941.0,167785.0,304489.0,201451.0,181532.0,206307.0,210017.0,226098.0,214976.0,190779.0,197427.0,176265.0,174513.0,176003.0,261618.0,205175.0,159620.0,140341.0,177854.0,149233.0,148188.0,144753.0,164024.0,192725.0,191369.0,192310.0,217838.0
Przepływy pieniężne z działalności operacyjnej,13604.0,5927.0,3555.0,-16637.0,3856.0,5176.0,11148.0,-500.0,6767.0,1569.0,12333.0,-5548.0,-323.0,13903.0,-5572.0,-3615.0,10941.0,46603.0,-31541.0,-6675.0,-6211.0,14413.0,12659.0,-12135.0,-648.0,93340.0,-69964.0,-9200.0,23592.0,-190.0,2990.0,-13577.0,5144.0,23028.0,8639.0,-10626.0,10957.0,16015.0,-30925.0,-9978.0,7258.0,8416.0,3913.0,-10864.0,8271.0,13857.0,-2530.0,8109.0,2837.0,14412.0
Amortyzacja,719.0,762.0,519.0,1151.0,1520.0,1590.0,1449.0,1501.0,1487.0,1580.0,1528.0,1489.0,1495.0,1587.0,1618.0,1625.0,1536.0,1460.0,1523.0,1559.0,1592.0,1874.0,1745.0,1617.0,1539.0,1701.0,1986.0,1888.0,2047.0,2103.0,3516.0,3122.0,3956.0,3758.0,3169.0,3260.0,3254.0,3292.0,2324.0,2498.0,2532.0,2444.0,2375.0,2463.0,2476.0,2587.0,2831.0,2652.0,2535.0,2623.0
Przepływy pieniężne z działalności inwestycyjnej,-225.0,253.0,-5866.0,-3937.0,-1642.0,-1439.0,-1195.0,1692.0,-1544.0,-3832.0,-928.0,-6483.0,-1559.0,-864.0,-1381.0,-1821.0,-2310.0,-3288.0,-918.0,-2696.0,-97.0,-1965.0,-1379.0,-2306.0,-2637.0,-3629.0,-1601.0,-2044.0,-1636.0,-2862.0,-6102.0,-2721.0,-2251.0,-774.0,-1962.0,6671.0,-1549.0,44260.0,-1191.0,-1875.0,-1858.0,-93.0,-1083.0,-1351.0,-1883.0,-1237.0,-877.0,-3575.0,-1842.0,-2088.0
